"ticker","llm_composite","quant_rank","skip"
"EXEL","100","3","False"
"AGX","100","4","False"
"CPRX","100","6","False"
"MEDP","100","21","False"
"LAUR","100","34","False"
"EXPE","100","37","True"
"AZN","100","39","False"
"GMED","100","42","False"
"RMD","100","54","False"
"HRMY","100","59","False"
"ISRG","100","61","False"
"TYL","100","63","False"
"REGN","100","64","False"
"EMBJ","100","65","True"
"TCMD","100","69","False"
"ARGX","100","76","True"
"RL","100","78","False"
"FSLR","100","86","False"
"CRM","100","87","False"
"SENEA","100","89","False"
"KFY","100","92","False"
"INTU","100","98","True"
"EPAC","100","102","False"
"NICE","100","104","False"
"UFPT","100","111","False"
"DXCM","100","112","False"
"DT","100","114","False"
"PTC","100","119","True"
"ADBE","100","123","True"
"LHX","100","127","True"
"HQY","100","132","False"
"DCBO","100","135","False"
"DCTH","100","138","True"
"ATAT","100","159","False"
"AZZ","100","169","False"
"VIK","99.5","12","True"
"NVS","99.5","17","False"
"INVA","99.5","44","False"
"HALO","99.5","115","False"
"KO","99.5","146","True"
"MAR","99.5","147","True"
"NYT","99.5","197","True"
"NBIX","99.0","8","False"
"MRK","99.0","29","False"
"SAP","99.0","50","False"
"MO","99.0","107","False"
"ABBV","99.0","118","False"
"WILC","99.0","122","False"
"GRMN","99.0","128","False"
"ITRN","99.0","137","False"
"JOE","99.0","168","True"
"KRYS","98.5","7","False"
"GD","98.5","48","False"
"HWM","98.5","58","False"
"RDVT","98.5","73","False"
"BWMX","98.5","80","False"
"PM","98.5","82","False"
"BMY","98.5","103","False"
"RSI","98.5","136","False"
"CART","98.5","141","False"
"YETI","98.5","249","False"
"RMBS","98.0","40","False"
"APH","98.0","105","False"
"ROP","98.0","110","False"
"CRUS","98.0","130","False"
"SENEB","98.0","133","False"
"VCYT","97.8","53","False"
"INCY","97.5","2","False"
"VRTX","97.5","25","False"
"KNSA","97.5","26","False"
"MNST","97.5","27","False"
"ABNB","97.5","28","False"
"BMRN","97.5","31","False"
"AMGN","97.5","72","False"
"TBPH","97.5","106","False"
"ADSK","97","15","False"
"BLBD","97","35","False"
"AVGO","97","46","False"
"LQDT","97","47","False"
"MDT","97","140","False"
