arm,ticker,start_epoch,end_epoch,secs,exit
38mtp-low,CAT,1786981643,1786983180,1537,0
38mtp-low,PM,1786983180,1786984704,1524,0
38mtp-low,MU,1786984704,1786985822,1118,6
38mtp-none,CAT,1786985916,1786986416,500,0
38mtp-none,PM,1786986416,1786987085,669,0
38mtp-none,MU,1786987085,1786987753,668,0
flash-api,CAT,1786987771,1786988322,551,11
flash-api,PM,1786988322,1786988979,657,12
flash-api,MU,1786988979,1786989733,754,12
38mtp-none,EXEL,1786989798,1786990484,686,0
38mtp-none,HG,1786990484,1786991092,608,11
38mtp-none,META,1786991092,1786991796,704,0
38mtp-none,SAP,1786991796,1786992420,624,0
38mtp-none,KRYS,1786992420,1786993099,679,0
38mtp-none,DCTH,1786993099,1786993693,594,0
flash-api,EXEL,1786993693,1786994527,834,0
flash-api,HG,1786994527,1786994671,144,0
flash-api,META,1786994671,1786995250,579,11
flash-api,SAP,1786995250,1786995699,449,0
flash-api,KRYS,1786995699,1786996435,736,12
flash-api,DCTH,1786996435,1786996891,456,0
38mtp-high,CAT,1787028364,1787032781,4417,0
38mtp-high,PM,1787054889,1787057065,2176,0
38mtp-high,MU,1787057065,1787059218,2153,6
38mtp-high,EXEL,1787061945,1787064412,2467,0
